,from,to,weight
46907,Cole J.E.,Tumasyan A.,101
101835,Paktinat Mehdiabadi S.,Sirunyan A.M.,101
88426,Li Y.Y.,Sirunyan A.M.,101
90231,Lopes De Sá R.,Sirunyan A.M.,101
111517,Ruiz Vargas J.C.,Sirunyan A.M.,101
116824,Sirunyan A.M.,Wong W.Y.,102
74617,Kaur A.,Tumasyan A.,102
116490,Sirunyan A.M.,Vargas Hernandez A.M.,102
49374,De Barbaro P.,Sirunyan A.M.,102
114366,Seo S.h.,Sirunyan A.M.,103
95711,Mohammed Y.,Sirunyan A.M.,103
122104,Tumasyan A.,Wang S.,103
116511,Sirunyan A.M.,Vazquez Acosta M.,103
49638,De Trocóniz J.F.,Sirunyan A.M.,103
95856,Mondal S.,Tumasyan A.,103
60711,Guerrero D.,Sirunyan A.M.,104
114682,Sharma S.,Tumasyan A.,104
122203,Tumasyan A.,Yoo J.,105
107941,Pree E.,Sirunyan A.M.,105
86441,Lee S.,Tumasyan A.,105
83663,Kumar S.,Tumasyan A.,105
77065,Kim D.,Tumasyan A.,105
96287,Moraes A.,Tumasyan A.,105
109729,Rathjens D.,Tumasyan A.,105
43810,Choi J.,Tumasyan A.,105
60538,Grossmann J.,Sirunyan A.M.,106
59602,Golunov A.,Sirunyan A.M.,106
35917,Chang P.,Tumasyan A.,106
111297,Roy D.,Tumasyan A.,106
110579,Ristic B.,Sirunyan A.M.,107
63398,Hempel M.,Sirunyan A.M.,108
83694,Kumar Verma R.,Sirunyan A.M.,109
113986,Schroeder N.,Sirunyan A.M.,109
113332,Saradhy R.,Sirunyan A.M.,109
110380,Revering M.,Sirunyan A.M.,109
87436,Lenzi B.,Sirunyan A.M.,109
103604,Pauwels K.,Sirunyan A.M.,110
87092,Legger F.,Sirunyan A.M.,111
75626,Khalil S.,Tumasyan A.,112
87941,Lewis J.,Sirunyan A.M.,112
98222,Navarro Tobar,Sirunyan A.M.,113
86310,Lee J.,Tumasyan A.,113
94986,Mesropian C.,Sirunyan A.M.,113
116183,Sirunyan A.M.,Terentyev N.,113
82521,Kovitanggoon K.,Sirunyan A.M.,113
81321,Kotov K.,Sirunyan A.M.,113
85499,Lau K.T.,Sirunyan A.M.,114
112548,Salama E.,Sirunyan A.M.,114
82832,Krikler B.,Sirunyan A.M.,114
99223,Niknejad T.,Sirunyan A.M.,114
84397,König A.,Sirunyan A.M.,114
104082,Perfilov M.,Sirunyan A.M.,115
48351,Dall’Osso M.,Sirunyan A.M.,115
60008,Goulianos K.,Sirunyan A.M.,115
117108,Sirunyan A.M.,du Pree T.,116
116704,Sirunyan A.M.,Watson I.J.,116
81104,Korol I.,Sirunyan A.M.,116
54031,Elmetenawee W.,Sirunyan A.M.,116
49643,De Visscher S.,Sirunyan A.M.,117
91470,Machet M.,Sirunyan A.M.,118
115258,Simone F.M.,Sirunyan A.M.,118
116927,Sirunyan A.M.,Yonamine R.,118
116304,Sirunyan A.M.,Trauger H.,118
33296,Caudron A.,Sirunyan A.M.,119
109013,Quertenmont L.,Sirunyan A.M.,119
84940,Lane R.,Sirunyan A.M.,119
49440,De Gruttola M.,Sirunyan A.M.,119
91530,Madhusudanan Sreekala J.,Sirunyan A.M.,120
32101,Calvelli V.,Sirunyan A.M.,120
65307,Hsiung Y.,Sirunyan A.M.,120
49990,Degano A.,Sirunyan A.M.,120
54007,Ellison J.,Sirunyan A.M.,120
114481,Seva T.,Sirunyan A.M.,120
115829,Sirunyan A.M.,Smith J.,120
33208,Castello R.,Sirunyan A.M.,120
57264,Friese R.,Sirunyan A.M.,120
116272,Sirunyan A.M.,Topkar A.,120
59247,Giordano F.,Sirunyan A.M.,120
52254,Driga O.,Sirunyan A.M.,120
92134,Majumdar N.,Sirunyan A.M.,120
116220,Sirunyan A.M.,Thyssen F.,120
110785,Rodriguez J.L.,Sirunyan A.M.,120
21476,Avetisyan A.,Sirunyan A.M.,120
22877,Baffioni S.,Sirunyan A.M.,120
93220,Markowitz P.,Sirunyan A.M.,120
93779,Matsushita T.,Sirunyan A.M.,120
71006,Jo M.,Sirunyan A.M.,120
96834,Mukhopadhyay S.,Sirunyan A.M.,120
103842,Peiffer T.,Sirunyan A.M.,120
47477,Correa Martins Junior M.,Sirunyan A.M.,120
116918,Sirunyan A.M.,Yelton J.,120
95721,Mohanty A.K.,Sirunyan A.M.,120
116612,Sirunyan A.M.,Vogel H.,120
117017,Sirunyan A.M.,Zhaozhong S.,121
111743,Russ J.,Sirunyan A.M.,121
94940,Mermerkaya H.,Sirunyan A.M.,121
116476,Sirunyan A.M.,Vanegas Arbelaez N.,121
57258,Friedl M.,Sirunyan A.M.,121
90161,Lomtadze T.,Sirunyan A.M.,122
82773,Kratochwil N.,Sirunyan A.M.,122
55775,Feindt F.,Sirunyan A.M.,123
110204,Rekovic V.,Sirunyan A.M.,123
57590,Furic I.K.,Sirunyan A.M.,123
46056,Ciesielski R.,Sirunyan A.M.,123
54105,Emriskova N.,Sirunyan A.M.,123
25521,Bellora A.,Sirunyan A.M.,124
55554,Faulkner J.,Sirunyan A.M.,124
61593,Haj Ahmad W.,Sirunyan A.M.,124
32701,Carle A.,Sirunyan A.M.,124
32656,Caraway B.,Sirunyan A.M.,124
89739,Liu S.,Sirunyan A.M.,124
95236,Mijuskovic J.,Sirunyan A.M.,124
