,Publisher,Published,Total Citations,Average Citations,Top 3 Papers
322,Elsevier Ltd,1640,24508.0,14.94390243902439,"1. Paper-based electrochemical biosensor for diagnosing COVID-19: Detection of SARS-CoV-2 antibodies and antigen (294.0 cites)
2. An IGDT-based risk-involved optimal bidding strategy for hydrogen storage-based intelligent parking lot of electric vehicles (245.0 cites)
3. Shrimp humoral responses against pathogens: antimicrobial peptides and melanization (200.0 cites)"
314,Elsevier B.V.,1518,23141.0,15.244400527009223,"1. Acute kidney injury from sepsis: current concepts, epidemiology, pathophysiology, prevention and treatment (485.0 cites)
2. Cyclodextrins: structure, physicochemical properties and pharmaceutical applications (449.0 cites)
3. Cemiplimab monotherapy for first-line treatment of advanced non-small-cell lung cancer with PD-L1 of at least 50%: a multicentre, open-label, global, phase 3, randomised, controlled trial (330.0 cites)"
755,Nature Research,447,6742.0,15.082774049217003,"1. Emerging MDR-Pseudomonas aeruginosa in fish commonly harbor oprL and toxA virulence genes and bla TEM, bla CTX-M, and tetA antibiotic-resistance genes (650.0 cites)
2. Consensus statement for stability assessment and reporting for perovskite photovoltaics based on ISOS procedures (616.0 cites)
3. COVID-19-associated acute kidney injury: consensus report of the 25th Acute Disease Quality Initiative (ADQI) Workgroup (372.0 cites)"
683,MDPI AG,379,6588.0,17.38258575197889,"1. Solubility of cyclodextrins and drug/cyclodextrin complexes (344.0 cites)
2. Industry 4.0: A solution towards technology challenges of sustainable business performance (303.0 cites)
3. A review of the role of green tea (camellia sinensis) in antiphotoaging, stress resistance, neuroprotection, and autophagy (193.0 cites)"
936,Springer,500,5170.0,10.34,"1. Acute-on-chronic liver failure: consensus recommendations of the Asian Pacific association for the study of the liver (APASL): an update (418.0 cites)
2. Pre-existing liver disease is associated with poor outcome in patients with SARS CoV2 infection; The APCOLIS Study (APASL COVID-19 Liver Injury Spectrum Study) (170.0 cites)
3. Extraction and validation of a new set of CMS pythia8 tunes from underlying-event measurements (158.0 cites)"
952,Springer Verlag,248,5142.0,20.733870967741936,"1. Cone-beam CT in paediatric dentistry: DIMITRA project position statement (139.0 cites)
2. Search for narrow and broad dijet resonances in proton-proton collisions at √s=13 TeV and constraints on dark matter mediators and other new particles (139.0 cites)
3. Measurement of the inelastic proton-proton cross section at √s=13 TeV (127.0 cites)"
58,American Chemical Society,292,5054.0,17.30821917808219,"1. Understanding Degradation Mechanisms and Improving Stability of Perovskite Photovoltaics (945.0 cites)
2. Why are lopinavir and ritonavir effective against the newly emerged coronavirus 2019? Atomistic insights into the inhibitory mechanisms (169.0 cites)
3. Stable Radical Cation-Containing Covalent Organic Frameworks Exhibiting Remarkable Structure-Enhanced Photothermal Conversion (165.0 cites)"
73,American Physical Society,172,4786.0,27.825581395348838,"1. Observation of t t H Production (231.0 cites)
2. Observation of Higgs Boson Decay to Bottom Quarks (229.0 cites)
3. Search for Heavy Neutral Leptons in Events with Three Charged Leptons in Proton-Proton Collisions at s =13 TeV (149.0 cites)"
682,MDPI,880,3988.0,4.531818181818182,"1. Role of social and technological challenges in achieving a sustainable competitive advantage and sustainable business performance (211.0 cites)
2. Factors influencing construction waste generation in building construction: Thailand's perspective (98.0 cites)
3. Customer behavior as an outcome of social media marketing: The role of social media marketing activity and customer experience (70.0 cites)"
474,Institute of Electrical and Electronics Engineers Inc.,814,3640.0,4.471744471744472,"1. The UCR time series archive (281.0 cites)
2. Performance analysis of a hyperledger fabric blockchain framework: Throughput, latency and scalability (122.0 cites)
3. Application of Blockchain in Collaborative Internet-of-Things Services (103.0 cites)"
