,from,to,weight
13,Albania,Pakistan,1
12,Albania,Mongolia,1
11,Albania,Italy,1
10,Albania,Israel,1
9,Albania,India,1
8,Afghanistan,Thailand,1
28,Algeria,United Kingdom,1
2533,United States,Yemen,1
26,Algeria,Switzerland,1
7,Afghanistan,South Korea,1
2306,Russian Federation,Slovenia,1
2300,Romania,Turkey,1
2298,Romania,Taiwan,1
2296,Romania,Sweden,1
2294,Romania,South Korea,1
2292,Romania,Singapore,1
67,Argentina,Uruguay,1
37,Argentina,Egypt,1
36,Argentina,Colombia,1
34,Argentina,Canada,1
32,Argentina,Austria,1
31,Angola,Israel,1
29,Algeria,United States,1
61,Argentina,Taiwan,1
20,Algeria,Israel,1
6,Afghanistan,Pakistan,1
5,Afghanistan,Israel,1
23,Algeria,Mongolia,1
2520,Ukraine,Ukraine,1
2523,United Arab Emirates,United Arab Emirates,1
2526,United Arab Emirates,Uruguay,1
14,Albania,South Korea,1
1458,India,Romania,1
1457,India,Qatar,1
103,Australia,Chile,1
91,Aruba,France,1
2518,Uganda,United Kingdom,1
2517,Turkey,Viet Nam,1
2514,Turkey,Ukraine,1
2512,Tunisia,Viet Nam,1
2511,Tunisia,United States,1
2190,Panama,Slovenia,1
2187,Palestine,South Korea,1
2186,Palestine,Saudi Arabia,1
1424,Iceland,United Kingdom,1
1422,Iceland,Sweden,1
1421,Iceland,Japan,1
2505,Thailand,Uruguay,1
2035,Myanmar,Taiwan,1
2031,Myanmar,Pakistan,1
2028,Mozambique,Pakistan,1
2027,Morocco,Viet Nam,1
1393,Hong Kong,Turkey,1
1392,Hong Kong,Tunisia,1
1388,Hong Kong,Sri Lanka,1
1384,Hong Kong,Slovakia,1
1382,Hong Kong,Serbia,1
1380,Hong Kong,Portugal,1
1415,Hungary,Turkey,1
1410,Hungary,Russian Federation,1
1476,India,Tunisia,1
1475,India,Trinidad and Tobago,1
1470,India,Sudan,1
1460,India,Rwanda,1
2014,Mongolia,Yemen,1
2012,Mongolia,Uzbekistan,1
2421,South Africa,Uruguay,1
128,Australia,Kazakhstan,1
123,Australia,Ireland,1
118,Australia,Hungary,1
1379,Hong Kong,Poland,1
1376,Hong Kong,None,1
1373,Hong Kong,Mongolia,1
1498,Indonesia,Russian Federation,1
1493,Indonesia,Nepal,1
1369,Hong Kong,Kenya,1
116,Australia,Haiti,1
109,Australia,Fiji,1
2042,Nepal,Singapore,1
2037,Myanmar,United Kingdom,1
2206,Peru,Sierra Leone,1
2205,Peru,Serbia,1
2203,Peru,Portugal,1
2201,Peru,Philippines,1
2200,Paraguay,South Korea,1
2198,Paraguay,Poland,1
2197,Papua New Guinea,Viet Nam,1
2196,Papua New Guinea,United States,1
1366,Hong Kong,Israel,1
1361,Honduras,Thailand,1
1360,Honduras,Israel,1
2022,Morocco,Slovenia,1
2019,Morocco,Pakistan,1
2018,Morocco,Netherlands,1
2016,Montenegro,South Korea,1
2015,Mongolia,Zimbabwe,1
2000,Mongolia,Singapore,1
1999,Mongolia,Sierra Leone,1
1998,Mongolia,Serbia,1
1997,Mongolia,Russian Federation,1
1996,Mongolia,Romania,1
1995,Mongolia,Poland,1
151,Australia,Serbia,1
138,Australia,None,1
135,Australia,Myanmar,1
133,Australia,Mongolia,1
130,Australia,Kuwait,1
2436,South Korea,Ukraine,1
2434,South Korea,Tunisia,1
2433,South Korea,Trinidad and Tobago,1
2432,South Korea,Togo,1
2425,South Korea,South Sudan,1
2408,Somalia,Thailand,1
2405,Slovenia,Turkey,1
1358,Haiti,Zimbabwe,1
1354,Haiti,Pakistan,1
1353,Haiti,Israel,1
1352,Haiti,Honduras,1
1351,Guyana,Mongolia,1
1350,Guinea-Bissau,Pakistan,1
1347,Guatemala,Rwanda,1
1346,Guatemala,Pakistan,1
1345,Guatemala,Norway,1
1344,Guatemala,Israel,1
2008,Mongolia,Ukraine,1
2006,Mongolia,Syrian Arab Republic,1
2004,Mongolia,Sri Lanka,1
2001,Mongolia,Slovakia,1
1981,Moldova,Moldova,1
1980,Mexico,Viet Nam,1
1977,Mexico,United Arab Emirates,1
1502,Indonesia,Slovakia,1
1499,Indonesia,Rwanda,1
2174,Pakistan,Tunisia,1
2173,Pakistan,Togo,1
2171,Pakistan,Tanzania,1
1335,Greece,South Korea,1
1332,Greece,Singapore,1
1330,Greece,Peru,1
1329,Greece,Pakistan,1
181,Austria,Cyprus,1
179,Austria,Costa Rica,1
170,Austria,Bahrain,1
163,Australia,Ukraine,1
1307,Ghana,Poland,1
210,Austria,Moldova,1
208,Austria,Malta,1
206,Austria,Lithuania,1
192,Austria,Greece,1
191,Austria,Ghana,1
186,Austria,Estonia,1
1994,Mongolia,Peru,1
1993,Mongolia,Panama,1
1991,Mongolia,Nigeria,1
1990,Mongolia,New Zealand,1
1989,Mongolia,Netherlands,1
1988,Mongolia,Nepal,1
1987,Mongolia,Myanmar,1
1986,Mongolia,Montenegro,1
1985,Mongolia,Mongolia,1
1975,Mexico,Uganda,1
2083,New Zealand,Slovakia,1
2077,New Zealand,Peru,1
2075,New Zealand,Norway,1
2074,New Zealand,Nigeria,1
2072,Netherlands,Viet Nam,1
211,Austria,Mongolia,1
1328,Greece,Norway,1
1326,Greece,Mongolia,1
1319,Greece,Hungary,1
1315,Ghana,United Arab Emirates,1
1312,Ghana,Spain,1
1311,Ghana,South Korea,1
1310,Ghana,Slovenia,1
1309,Ghana,Slovakia,1
1308,Ghana,Singapore,1
225,Austria,Russian Federation,1
223,Austria,Qatar,1
222,Austria,Portugal,1
220,Austria,Peru,1
219,Austria,Palestine,1
1297,Ghana,Hong Kong,1
2470,Sweden,Ukraine,1
2462,Sudan,United Arab Emirates,1
1543,Iran,South Africa,1
1542,Iran,Slovenia,1
1532,Iran,Philippines,1
1303,Ghana,Netherlands,1
1527,Iran,Nepal,1
1519,Iran,Kenya,1
1518,Iran,Kazakhstan,1
1298,Ghana,India,1
247,Azerbaijan,Georgia,1
246,Azerbaijan,France,1
245,Azerbaijan,Cameroon,1
2460,Sri Lanka,Viet Nam,1
2456,Sri Lanka,Taiwan,1
2227,Philippines,South Africa,1
2224,Philippines,Senegal,1
2222,Philippines,Rwanda,1
2221,Philippines,Russian Federation,1
2216,Peru,United Arab Emirates,1
2212,Peru,Sweden,1
1267,Germany,Palestine,1
1264,Germany,North Macedonia,1
1258,Germany,Mozambique,1
241,Austria,Ukraine,1
232,Austria,South Africa,1
270,Bangladesh,Hong Kong,1
268,Bangladesh,France,1
267,Bangladesh,Egypt,1
265,Bangladesh,Canada,1
264,Bangladesh,Brunei Darussalam,1
263,Bangladesh,Bhutan,1
261,Bahrain,Viet Nam,1
260,Bahrain,United States,1
259,Bahrain,United Kingdom,1
257,Bahrain,South Korea,1
255,Bahrain,Mongolia,1
254,Bahrain,Malaysia,1
253,Bahrain,Iraq,1
251,Azerbaijan,Pakistan,1
250,Azerbaijan,Mongolia,1
248,Azerbaijan,Israel,1
1248,Germany,Jordan,1
1237,Germany,Ghana,1
1231,Georgia,Thailand,1
1227,Georgia,Sri Lanka,1
293,Belarus,Israel,1
1256,Germany,Mongolia,1
1563,Iraq,Poland,1
1560,Iraq,Jordan,1
1559,Iraq,Italy,1
2485,Switzerland,Viet Nam,1
2483,Switzerland,Uruguay,1
2480,Switzerland,United Arab Emirates,1
283,Bangladesh,South Africa,1
279,Bangladesh,Philippines,1
276,Bangladesh,Malaysia,1
274,Bangladesh,Italy,1
1571,Iraq,United Arab Emirates,1
1570,Iraq,Turkey,1
1568,Iraq,Taiwan,1
1566,Iraq,South Africa,1
1564,Iraq,Saudi Arabia,1
2162,Pakistan,Somalia,1
2158,Pakistan,Seychelles,1
1223,Georgia,Slovenia,1
1220,Georgia,Saudi Arabia,1
1217,Georgia,Qatar,1
2473,Sweden,Viet Nam,1
2243,Poland,Qatar,1
2236,Philippines,Uganda,1
2234,Philippines,Tanzania,1
2232,Philippines,Switzerland,1
1249,Germany,Kenya,1
324,Belgium,Netherlands,1
323,Belgium,Moldova,1
321,Belgium,Kuwait,1
320,Belgium,Kenya,1
317,Belgium,Israel,1
316,Belgium,Iraq,1
314,Belgium,Indonesia,1
1950,Mexico,North Macedonia,1
1942,Mauritius,Philippines,1
1941,Mauritius,Pakistan,1
1940,Mauritania,Thailand,1
1939,Mauritania,South Korea,1
1938,Mauritania,Mongolia,1
1936,Malta,Poland,1
1935,Mali,United States,1
305,Belgium,Cuba,1
1914,Malaysia,Slovakia,1
1912,Malaysia,Serbia,1
1216,Georgia,Puerto Rico,1
1213,Georgia,Palestine,1
1205,Georgia,Lithuania,1
1204,Georgia,Latvia,1
1203,Georgia,Kuwait,1
1202,Georgia,Kenya,1
1198,Georgia,Ireland,1
1589,Ireland,Spain,1
2400,Slovenia,Sudan,1
2399,Slovenia,Sri Lanka,1
2398,Slovenia,South Korea,1
2397,Slovenia,South Africa,1
2393,Slovakia,United Arab Emirates,1
2389,Slovakia,Switzerland,1
351,Benin,Pakistan,1
350,Benin,Italy,1
349,Benin,Israel,1
347,Benin,France,1
342,Belgium,United Arab Emirates,1
338,Belgium,Taiwan,1
334,Belgium,South Korea,1
332,Belgium,Slovakia,1
1934,Mali,Spain,1
1933,Mali,Mongolia,1
1932,Maldives,South Korea,1
1931,Malaysia,Zambia,1
1921,Malaysia,Sweden,1
1920,Malaysia,Sudan,1
1919,Malaysia,Sri Lanka,1
1915,Malaysia,Slovenia,1
361,Bhutan,Myanmar,1
360,Bhutan,Malaysia,1
359,Bhutan,Japan,1
357,Bhutan,India,1
356,Bhutan,Germany,1
355,Bhutan,France,1
354,Bhutan,China,1
1584,Ireland,Qatar,1
1580,Ireland,Norway,1
1579,Ireland,Mongolia,1
1575,Ireland,Israel,1
1574,Ireland,Ireland,1
1189,Gabon,Israel,1
1188,Gabon,India,1
1187,French Guiana,Thailand,1
353,Bhutan,Cambodia,1
380,Bolivia,Italy,1
379,Bolivia,Israel,1
378,Bolivia,Germany,1
377,Bolivia,Colombia,1
376,Bhutan,Viet Nam,1
373,Bhutan,Turkey,1
371,Bhutan,Taiwan,1
370,Bhutan,Switzerland,1
369,Bhutan,Spain,1
368,Bhutan,South Korea,1
367,Bhutan,Singapore,1
366,Bhutan,Saudi Arabia,1
365,Bhutan,Philippines,1
364,Bhutan,Pakistan,1
363,Bhutan,Norway,1
362,Bhutan,Nepal,1
1183,France,Uzbekistan,1
1182,France,Uruguay,1
1177,France,Uganda,1
2257,Poland,Tanzania,1
1608,Israel,Madagascar,1
1607,Israel,Lithuania,1
1606,Israel,Libya,1
1605,Israel,Lebanon,1
1604,Israel,Latvia,1
1603,Israel,Kyrgyzstan,1
1602,Israel,Kuwait,1
1601,Israel,Kenya,1
1600,Israel,Kazakhstan,1
384,Bolivia,Pakistan,1
382,Bolivia,Kenya,1
381,Bolivia,Japan,1
